Funcion,Angulo ,0,30,45,60,90
SENO,valor del angulo,0,0.5,(2^1/2)/2,(3^1/2)/2,1
Coseno,valor del angulo,1,(3^1/2)/2,(2^1/2)/2,0.5,0
